id,preg_rate,chlamydia_rate,child_poverty_rate,adherents_rate,women_uninsured_rate,obesity_rate,hs_grad_rate,single_parent_rate,feature_risk_rate,preg_rate_index,chlamydia_rate_index,child_poverty_rate_index,adherents_rate_index,women_uninsured_rate_index,feature_risk_rate_index,preg_rate_color,chlamydia_rate_color,women_uninsured_rate_color,child_poverty_rate_color,adherents_rate_color,feature_rate_color,predicted_vals,civil_war
1117,30,127,9,47.6,30,28,84,7,0,1,2,0,4,7,4,"rgb(222,235,247)","rgb(179,219,51)","rgb(129,66,23)","rgb(200,252,255)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1119,46,1110,47,36.1,0,40,75,14,0,4,8,8,1,2,4,"rgb(107,174,214)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(177,80,224)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1121,67,659,25,53.5,0,33,61,11,0,7,8,6,5,2,4,"rgb(8,81,156)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,124,132)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1123,63,505,26,69.5,0,33,62,10,0,6,7,6,7,2,4,"rgb(33,113,181)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1125,37,594,22,53.6,26,32,63,9,0,2,8,5,5,6,4,"rgb(198,219,239)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,156,166)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1127,62,244,25,65.4,27,32,72,9,0,6,5,6,7,6,4,"rgb(33,113,181)","rgb(114,142,25)","rgb(158,81,28)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1129,50,385,27,58.5,29,35,76,9,1,5,7,6,6,7,8,"rgb(66,146,198)","rgb(68,85,15)","rgb(129,66,23)","rgb(0,124,132)","rgb(83,20,114)","rgb(120,32,21)","rgb(105,105,105)","rgb(128,128,128)"
1131,73,1131,47,61,0,39,72,16,0,7,8,8,6,2,4,"rgb(8,81,156)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1133,63,69,26,61.2,0,28,76,9,0,6,1,6,6,2,4,"rgb(33,113,181)","rgb(189,224,80)","rgb(227,149,95)","rgb(0,124,132)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
2013,47,869,14,23.6,0,28,75,16,0,4,8,2,0,2,4,"rgb(107,174,214)","rgb(45,56,10)","rgb(227,149,95)","rgb(13,240,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)","rgb(255,11,11)"
